favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1208,TweetDeck,b'Anybody who thought the Hong Kong protests were *over* should have a look at these scenes from Mong Kok. It only ta\xe2\x80\xa6 https://t.co/QU5oUcjaBF',,False,Sat Feb 29 15:09:16 +0000 2020,1166,b'1233771223693348865'
2178,Twitter for iPhone,"b'\xe2\x80\x9cFlabbergasted\xe2\x80\x9d that a sick doctor would keep working? \n\nUm, sick doctors working is the backbone of our health sys\xe2\x80\xa6 https://t.co/OGQAuKs19c'",,False,Sat Mar 07 00:59:38 +0000 2020,599,b'1236094118553477121'
8570,Twitter for iPhone,"b'Yes, unless you\xe2\x80\x99re old. https://t.co/SC7zcQguIA'",,False,Tue Mar 10 15:58:48 +0000 2020,1111,b'1237407567162245120'
356,Twitter for iPhone,b'Had a totally surreal author moment at B&amp;N today. For years and years and years I\xe2\x80\x99d walk into every bookstore and i\xe2\x80\xa6 https://t.co/CNYMWJNaDp',,False,Sun Mar 01 01:21:13 +0000 2020,18,b'1233925225697488901'
3461,SocialFlow,b'Top Democrats Say They \xe2\x80\x98Won\xe2\x80\x99t Accept Trump Acquittal as Legitimate\xe2\x80\x99 https://t.co/lD4VhhlcUv',,False,Sat Feb 01 11:04:06 +0000 2020,870,b'1223562663273336835'
17682,TweetDeck,"b""In case y'all thought we weren't on task today due to your little hissy fit fake temper tantrum, think again.\xe2\x80\xa6 https://t.co/WrXfMKU6jn""",,False,Tue Jan 28 23:39:34 +0000 2020,5475,b'1222303232652914689'
13733,Twitter for iPhone,b'Panic buying and stockpiling of toilet roll continues. These are the scenes at Costco in Farnborough in Hampshire t\xe2\x80\xa6 https://t.co/T0Xsyd8p1L',,False,Sat Mar 07 13:56:36 +0000 2020,4643,b'1236289649737371648'
1005,Twitter for iPhone,b'Only the realest will feel this \xf0\x9f\x98\xad\xf0\x9f\x98\x82 https://t.co/UsBYSIS7Ft',,False,Mon Mar 02 04:40:22 +0000 2020,384,b'1234337730706001920'
1874,Twitter for iPhone,b'@amandacarpenter Will the WH answer reasonable questions about what Trump\xe2\x80\x99s own hotel and resort business stands to gain from this?',amandacarpenter,False,Tue Mar 10 10:48:50 +0000 2020,343,b'1237329561953673217'
388,Twitter for iPhone,"b'It\xe2\x80\x99s Super Bowl week, and Trump is using a prevent defense. The strategy sometimes backfires iN football. It may fa\xe2\x80\xa6 https://t.co/qEtKj1JHga'",,False,Tue Jan 28 20:41:05 +0000 2020,88,b'1222258314857172993'
8806,Twitter for iPhone,b'Turns out Donald Trump was potentially exposed to coronavirus when he was at CPAC. Maybe someone should let him kno\xe2\x80\xa6 https://t.co/gUBIMYq5gT',,False,Sat Mar 07 23:24:49 +0000 2020,1570,b'1236432648374857728'
5456,TweetDeck,b'BREAKING: Chicago Cubs third baseman Kris Bryant has lost his grievance against the team seeking an extra year of s\xe2\x80\xa6 https://t.co/K4QUGpCeDq',,False,Wed Jan 29 15:02:40 +0000 2020,1403,b'1222535535996162048'
7353,Twitter for iPhone,b'@bIondiewasabi if u cant respect gibby then feel free to leave https://t.co/cwmgT49HMC',bobbyteriyaki,False,Sat Feb 29 06:29:41 +0000 2020,354,b'1233640466379231237'
1078,Twitter for iPhone,"b'At the end of the day, @BernieSanders gets out the vote and beats Trump. With the help of @AOC and @MMFlint https://t.co/EwstmvBpFB'",,False,Tue Jan 28 18:33:51 +0000 2020,245,b'1222226295498727431'
148,Twitter for iPhone,b'Plz@@atiku help us \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbbthis is a video clip of the news paper of the incident that happend at ikeja can\xe2\x80\xa6 https://t.co/pFGqpeKgQy',,False,Fri Jan 31 06:47:48 +0000 2020,109,b'1223135777674158081'
637,Hootsuite Inc.,"b""We're giving you and your someone special the chance to watch the latest film at your local Cinema! To win just tag\xe2\x80\xa6 https://t.co/5eiRzl7BHq""",,False,Mon Feb 03 09:15:12 +0000 2020,886,b'1224260033967509504'
858,Twitter VIT App for iOS,"b""omb fam it's time! sierra, jason, and diego are here answering your questions live, follow along using #AskOnMyBlock""",,False,Mon Mar 09 20:03:38 +0000 2020,106,b'1237106794758983680'
7443,TweetDeck,"b'Someone who I\'m guessing didn\'t watch much Jeff Okudah last year asked him about having ""a tendency to get kind of\xe2\x80\xa6 https://t.co/pJDl8v4FNt'",,False,Fri Feb 28 14:07:02 +0000 2020,1054,b'1233393175076708355'
6413,Twitter Web Client,"b'Big newsrooms may need to take political reporters \xe2\x80\x93 and editors on the political desk \xe2\x80\x93 ""entirely out of the loop""\xe2\x80\xa6 https://t.co/cIg2Jkcqpf'",,False,Sat Mar 07 15:03:18 +0000 2020,2687,b'1236306434490609665'
